UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power_Consumption_kWh,Machine_Load_Percent,Energy_Cost_INR,Carbon_Emission_kgCO2,Production_Output_Units,Estimated_Downtime_Hours,Estimated_Loss_INR
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,13.7,56.1,109.6,11.23,83,0.0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,12.93,57.7,103.44,10.6,71,0.0,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,14.14,65.9,113.12,11.59,79,0.0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,12.22,56.7,97.76,10.02,73,0.0,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,12.07,48.6,96.56,9.9,71,0.0,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,12.48,51.2,99.84,10.23,72,0.0,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,13.71,60.9,109.68,11.24,84,0.0,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,13.13,53.8,105.04,10.77,81,0.0,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,12.76,31.7,102.08,10.46,94,0.0,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,13.33,36.0,106.64,10.93,100,0.0,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,13.12,25.3,104.96,10.76,104,0.0,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,12.79,53.3,102.32,10.49,72,0.0,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,12.99,66.2,103.92,10.65,65,0.0,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,13.61,26.4,108.88,11.16,100,0.0,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,14.74,13.1,117.92,12.09,126,0.0,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,14.39,58.5,115.12,11.8,83,0.0,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,12.13,53.7,97.04,9.95,62,0.0,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,12.85,59.0,102.8,10.54,71,0.0,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,13.17,65.1,105.36,10.8,62,0.0,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,12.99,32.4,103.92,10.65,91,0.0,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,12.15,60.8,97.2,9.96,68,0.0,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,13.09,55.2,104.72,10.73,75,0.0,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,12.3,37.3,98.4,10.09,86,0.0,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,13.16,23.0,105.28,10.79,102,0.0,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,13.03,43.3,104.24,10.68,84,0.0,0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,13.73,27.3,109.84,11.26,111,0.0,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,12.84,42.6,102.72,10.53,80,0.0,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,13.47,30.4,107.76,11.05,106,0.0,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,12.92,52.5,103.36,10.59,74,0.0,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,13.2,34.7,105.6,10.82,96,0.0,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,12.59,58.0,100.72,10.32,65,0.0,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,13.48,39.1,107.84,11.05,105,0.0,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,13.3,61.1,106.4,10.91,72,0.0,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,13.28,34.1,106.24,10.89,93,0.0,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,12.66,46.6,101.28,10.38,84,0.0,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,13.63,55.4,109.04,11.18,75,0.0,0
